1  _  _  2  3  4  _  _  12 _  6  _  _  _  7  _
_  _  8  _  _  _  7  _  _  3  _  _  9  10 6  11
_  12 _  _  10 _  _  1  _  13 _  11 _  _  14 _
3  _  _  15 2  _  _  14 _  _  _  9  _  _  12 _
13 _  _  _  8  _  _  10 _  12 2  _  1  15 _  _
_  11 7  6  _  _  _  16 _  _  _  15 _  _  5  13
_  _  _  10 _  5  15 _  _  4  _  8  _  _  11 _
16 _  _  5  9  12 _  _  1  _  _  _  _  _  8  _
_  2  _  _  _  _  _  13 _  _  12 5  8  _  _  3
_  13 _  _  15 _  3  _  _  14 8  _  16 _  _  _
5  8  _  _  1  _  _  _  2  _  _  _  13 9  15 _
_  _  12 4  _  6  16 _  13 _  _  7  _  _  _  5
_  3  _  _  12 _  _  _  6  _  _  4  11 _  _  16
_  7  _  _  16 _  5  _  14 _  _  1  _  _  2  _
11 1  15 9  _  _  13 _  _  2  _  _  _  14 _  _
_  14 _  _  _  11 _  2  _  _  13 3  5  _  _  12
